n,alpha,m,exists,witness
5,4/3,1,1,0
5,4/3,2,1,01
5,4/3,3,1,012
5,4/3,4,1,0123
5,4/3,5,1,01234
5,4/3,6,1,012034
5,4/3,7,1,0120314
5,4/3,8,1,01203143
5,4/3,9,1,012031023
5,4/3,10,1,0120310213
5,4/3,11,1,01203102134
5,4/3,12,1,012031021324
5,4/3,13,1,0143241342312
5,4/3,14,1,01432413423124
5,4/3,15,1,014023041321042
5,4/3,16,1,0120310213014234
5,4/3,17,1,01204134024314213
5,4/3,18,1,014324134231403412
5,4/3,19,1,0120310213012310324
5,4/3,20,1,01203102130123103214
5,4/3,21,1,013423043240342043024
5,4/3,22,1,0134230432403420430214
5,4/3,23,1,01203102130123103204134
5,4/3,24,1,012031021301231032013024
5,4/3,25,1,0120310213012310320130214
5,4/3,26,1,01342314324034132031430412
5,4/3,27,1,012031021301231032013021034
5,4/3,28,1,0143241342314304214034230412
5,4/3,29,1,01432413423143042140342304312
5,4/3,30,1,014324134231430421403423043124
5,4/3,31,1,0130243203124130432401431034214
5,4/3,32,1,01304231034014304134214320310214
5,4/3,33,1,013412432042341304314213410430214
5,4/3,34,1,0120310213012310320130210312014234
5,4/3,35,1,01203102130123103201302103120142134
5,4/3,36,1,012031021301231032013021031201421024
5,4/3,37,1,0120310213012310320130210312014021324
5,4/3,38,1,01342314324134032130412342031401230432
5,4/3,39,1,014324134231430421403423043241234214023
5,4/3,40,1,0132410421403204102342143041231021403412
5,4/3,41,1,01203102130123103201302103120140213041024
5,4/3,42,1,012031021301231032013021031201402130410234
5,4/3,43,1,0132102301420413214012304103204234031241042
5,4/3,44,1,01342143241340321423413243041234204301423412
5,4/3,45,1,014324134231430421403423043241340321431241042
5,4/3,46,1,0120310213012310320130210312014021301240314234
5,4/3,47,1,01431021403413201231402104301320312413043210312
5,4/3,48,1,012031021301231032013021031201402130120410214234
5,4/3,49,1,0143241342314304214034230432413403214312413210423
5,4/3,50,1,01203102130123103201302103120140213012032102304134
5,4/3,51,1,013423143241340321304324034132043023420314321304312
5,4/3,52,1,0120340230413203142302104124023014321340243120140213
5,4/3,53,1,01432413423143042140342304324134032143124132104314234
5,4/3,54,1,013423143241340143042341324301342314034130432412340312
5,4/3,55,1,0143241342314304214034230432413403214312413210431423412
5,4/3,56,1,01304314213201241304210243204231203210230134203104214032
5,4/3,57,1,012031021301231032013021031201402130120310412301320341024
5,4/3,58,1,0134231432413403142341324304231432403423043203402431423412
5,4/3,59,1,01342314324134031423413243042314324034230432034132431423412
5,4/3,60,1,014324134231430421403423043241340321431241321043142341324312
